"","X","trans_date_trans_time","merchant","category","amt","gender","city","state","city_pop","job","dob","is_fraud","logamt"
"1",972276,"2020-01-28 10:44:47","fraud_Kris-Padberg","shopping_pos",3.45,"F","Laguna Hills","CA",45303,"Sales executive","1969-12-22",0,1.23837423104327
"2",28316,"2019-01-17 14:14:15","fraud_Turcotte-Halvorson","misc_pos",7.56,"M","West Harrison","NY",11250,"Lexicographer","1977-08-16",0,2.02287119019144
"3",1084421,"2020-03-26 16:30:35","fraud_Bogisich-Weimann","kids_pets",52.82,"M","Zaleski","OH",341,"Accounting technician","1978-12-18",0,3.96688990686899
"4",1010391,"2020-02-20 08:31:28","fraud_Heidenreich PLC","grocery_pos",92.72,"F","Brunson","SC",1725,"Social researcher","1974-12-05",0,4.5295841990315
"5",470575,"2019-07-26 16:24:50","fraud_Kuphal-Bartoletti","misc_net",9.64,"M","Reno","NV",276896,"Immunologist","1997-03-12",0,2.26592110862245
"6",335036,"2019-06-08 12:21:36","fraud_Prosacco, Kreiger and Kovacek","home",44.12,"F","Lawn","PA",213,"Special educational needs teacher","1972-02-15",0,3.7869131943853
"7",1264587,"2020-06-09 12:55:55","fraud_Lubowitz-Walter","kids_pets",93.05,"M","Mc Veytown","PA",4653,"Nutritional therapist","1997-07-01",0,4.53313698308826
"8",318604,"2019-06-02 10:21:30","fraud_Bailey-Morar","grocery_pos",127.53,"M","Varnell","GA",74,"Pensions consultant","1944-05-14",0,4.84835163103881
"9",1056983,"2020-03-15 02:40:47","fraud_Eichmann-Russel","misc_pos",31.16,"M","Lohrville","IA",695,"Administrator","1954-07-15",0,3.43913522100255
"10",1044874,"2020-03-09 13:22:16","fraud_Abbott-Steuber","personal_care",81.16,"M","Heiskell","TN",4729,"Geologist, wellsite","1982-04-19",0,4.39642251495761
"11",826265,"2019-12-09 18:47:50","fraud_Pouros, Walker and Spencer","kids_pets",50.93,"F","Redford","MO",241,"Investment analyst","1974-10-27",0,3.93045214089651
